# name alts lats offset cos1 sin1 cos2 sin2 lya kp Rsq diff rdiff Fvalue ddof oferr c1err s1err c2err s2err lyaerr kperr derr rderr
SCIAMACHY 60 -37.5 -3646742.03	-2310625.61	986892.97	-714664.411	670450.561	6323779.38	1839164.32 	0.480380 	-39327879.4	-0.950651335 	3.38976872	22 1921371.42	1998030.38	1674450.78	1745168.05	1655796.4	2884690.98	1813681.16 	2001287.64	0.0287166989
reference 60 -37.5 24671394.9	-3503711.81	3640163.83	4155032.67	4773067.9	19829311.2	6824384.58 	0.199978 	0.0	0.0 	6.29080309	151 3745318.74	2872401.76	2812449.63	2930398.85	2786895.84	5292681.61	2449334.95 	0.1	0.01
MIPAS 60 -32.5 26694031.9	-9812968.88	3899109.25	4749318.9	2169785.24	27236444.9	5476739 	0.510526 	8281238.52	0.210956291 	21.2078461	122 2474155.39	1782789.23	1789763.64	1872127.4	1782885.79	3525066.86	1505121.5 	1228012.08	0.0312272576
SCIAMACHY 60 -32.5 -3689098.67	-4301894.87	533779.142	837526.508	1433942.93	6311358.17	2929671.73 	0.641644 	-33383742.8	-0.91871136 	7.46049183	25 1680756.61	1546377.43	1375014	1569651.56	1469093.3	2628680.79	1599434.66 	1904480.29	0.0408609867
reference 60 -32.5 19609947.1	-7491450.61	3591450.81	5950686.03	4943497.85	19028670	7370106.41 	0.264869 	0.0	0.0 	9.24773916	154 3383373.07	2565513.92	2539439.94	2670003.32	2538580.61	4850503.07	2238502.67 	0.1	0.01
MIPAS 60 -27.5 26579468	-11810399.6	4232799.97	3748323.2	3601585.57	23888472.8	4456889.28 	0.501357 	7944833.13	0.211621126 	20.4439907	122 2489236.03	1793655.81	1800672.72	1883538.51	1793752.95	3546553.08	1514295.61 	1220360.67	0.0336342283
SCIAMACHY 60 -27.5 -1665839.68	-4967459.66	-142323.232	2211104.26	1869470.63	6524270.37	2327837.35 	0.655972 	-30143631.6	-0.876280152 	8.58033994	27 1548007.54	1482008.8	1235716.43	1350031.3	1339404.37	2558930.47	1547512.26 	1790871.81	0.0456284997
reference 60 -27.5 19158777.8	-9610916.79	4429698.8	4489668.15	5541570.67	17144080.5	6429619.53 	0.284389 	0.0	0.0 	10.3325771	156 3180764.9	2441361.97	2392583.16	2512999.65	2405824.4	4611619.22	2128864.92 	0.1	0.01
MIPAS 60 -22.5 25845520	-9380041.08	2329053.56	4223796.54	3112948.19	22698560.7	3262550.99 	0.482782 	7378540.71	0.213380102 	18.9795171	122 2209989.82	1592440.83	1598670.58	1672240.35	1592527.08	3148695.47	1344419.68 	1076053.07	0.0301655417
SCIAMACHY 60 -22.5 -464983.158	-5231562.57	-1185322.22	1980811.51	1034178.09	6296767.62	1770116.49 	0.611313 	-27195192.9	-0.849840084 	7.33958076	28 1595976.29	1511844.78	1319615.53	1354131.48	1342194.39	2618241.2	1568336.67 	1574641.33	0.045226783
