# name alts lats offset cos1 sin1 cos2 sin2 lya kp Rsq diff rdiff Fvalue ddof oferr c1err s1err c2err s2err lyaerr kperr derr rderr chisq
MIPAS 60 -37.5 31772723	-7541939.58	2925142.61	2223812.81	2164118.75	29513802.8	4702930.14 	0.486818 	11439611.6	0.281688723 	19.2887116	122 2506030.54	1805757.34	1896246.47	1812821.6	1805855.15	3570481.16	1524512.35 	1319251.79	0.0330317866	1.11311779e+09
SCIAMACHY 60 -37.5 -3733139.24	-2296209.6	-644650.33	1005044.81	631732.01	6035846.52	1708064.52 	0.475095 	-37467471.7	-0.957078955 	3.31872289	22 1859642.64	1933838.75	1689100.24	1620654.94	1602599.88	2792013.21	1755412.21 	1830187.17	0.0304058472	1.06670257e+09
reference 60 -37.5 26524624.9	-1193131.64	1591240.47	4739548.98	6818543.57	20972736.6	2775271.14 	0.179163 	0.0	0.0 	6.72993905	185 3230804.3	2619833.3	2560725.27	2542449.89	2442899.59	4946794.69	2068526.07 	0.1	0.01	1.0
ACE-FTS 60 -32.5 13347968.8	-18705938.6	268757.532	-7309975.15	10932605.2	3934073.98	-847386.337 	0.677821 	-11613533.7	-0.331759689 	7.7141529	22 4630273.55	4897701.17	2983459.54	4243444.14	3085956.6	7151439.47	2047968.83 	2562491.32	0.0786436275	241718628
MIPAS 60 -32.5 26694031.9	-9812968.88	4749318.9	3899109.25	2169785.24	27236444.9	5476739 	0.510526 	9800464.19	0.259707944 	21.2078461	122 2474155.39	1782789.23	1872127.4	1789763.64	1782885.79	3525066.86	1505121.5 	1271654.83	0.0327307215	980581695
SCIAMACHY 60 -32.5 -3642113.88	-3956871.92	727049.422	853630.132	1122449.57	6059364.68	2823711.46 	0.625173 	-31981634.6	-0.918806097 	6.11561535	22 1711152.68	1701251.37	1895077.78	1498732.95	1569210.65	2719456.83	1779367.05 	1898944.95	0.04370426	890714831
reference 60 -32.5 21428509.3	-4722167.65	4655771.79	4742409.63	7109410.51	19340400.3	4602677.38 	0.238354 	0.0	0.0 	9.38838782	180 3054502.51	2414976.08	2395150.55	2348514.29	2297824.84	4534078.28	1944295.63 	0.1	0.01	1.0
ACE-FTS 60 -27.5 17583744.9	-11361231.7	-3624464.87	2230736.23	1035284.79	4046445.98	304903.597 	0.579463 	-11925543.3	-0.36149493 	3.21512419	14 4542377.1	3725540.77	2586049.92	5531633.63	2710783.46	7275773.6	1904363.69 	2298258.44	0.0722782399	150056398
MIPAS 60 -27.5 26579468	-11810399.6	3748323.2	4232799.97	3601585.57	23888472.8	4456889.28 	0.501357 	9428794.5	0.261484152 	20.4439907	122 2489236.03	1793655.81	1883538.51	1800672.72	1793752.95	3546553.08	1514295.61 	1210358.47	0.0325946645	929863408
SCIAMACHY 60 -27.5 -1617021.99	-4653193.67	2006801.17	8174.39957	1529335.82	6198532.19	2218222.21 	0.630953 	-30183690	-0.874279587 	7.12367198	25 1566927.05	1510275.97	1448166.98	1289271.24	1390120.9	2545683.67	1533136.31 	1815259.69	0.0407926114	882379115
reference 60 -27.5 19722987.8	-9159788.77	2581922.78	5312669.55	4363776.58	18130990.2	4536942.86 	0.251696 	0.0	0.0 	9.81034631	175 3029998.21	2329603.66	2304366.87	2289023.35	2214647.17	4353459.68	1915669.51 	0.1	0.01	1.0
ACE-FTS 60 -22.5 26307897.8	-2411212.79	-1923770.86	3765395.14	932750.016	-5774535.5	-1795807.18 	0.480645 	-9324905.75	-0.302167429 	2.46791031	16 3814748.81	3191865.64	1985190.52	2760208.67	2018170.59	4469953.07	1785595.74 	1955323.13	0.0791809117	123552042
MIPAS 60 -22.5 25845520	-9380041.08	4223796.54	2329053.56	3112948.19	22698560.7	3262550.99 	0.482782 	8569760.26	0.256671025 	18.9795171	122 2209989.82	1592440.83	1672240.35	1598670.58	1592527.08	3148695.47	1344419.68 	1096473.77	0.0309268375	819120073
SCIAMACHY 60 -22.5 -535906.714	-5247132.52	1853336.49	-1164366.51	930848.465	6132783.07	1456638.25 	0.617370 	-26206654.1	-0.854237254 	7.26069733	27 1561934.04	1490968.24	1393684.22	1295025.94	1325397.09	2584573.44	1616335.83 	1592442.48	0.0470667218	811147403
reference 60 -22.5 18584102.7	-6335947.11	3087815.26	3587906.71	5696578.22	16983289.7	4148429.77 	0.246280 	0.0	0.0 	9.74814072	179 2665783.14	2041034.71	2031348.31	2009309.21	1940574.58	3791992.9	1696710.66 	0.1	0.01	1.0
ACE-FTS 60 -17.5 20424865.1	-19159990.3	-4572585.53	-17566595.1	10938160	7678676.58	-4252904.81 	0.206642 	-3158207.66	-0.101856656 	0.781395734	18 23028564.1	17157068.1	9619679.73	20325350.9	11320381.7	27810776.6	9932050.29 	6513442.7	0.207725652	816623370
MIPAS 60 -17.5 27739859.9	-5978684.91	4966828.91	2230939.93	-508533.692	27449373	1371077.26 	0.477917 	8535339.68	0.254072968 	18.6131863	122 2167130.1	1561557.62	1639809.54	1567666.55	1561642.19	3087630.84	1318346.5 	1105922.94	0.0276217992	765136397
SCIAMACHY 60 -17.5 -906214.873	-5507082.06	1304211.73	-1383790.27	227280.812	4756977.2	2362660.19 	0.583930 	-27624422.4	-0.864938351 	7.01720663	30 1487678.2	1339349.41	1298988.74	1249664.52	1238171.39	2364625.44	1454755.31 	1415087.36	0.0365295825	930342282
reference 60 -17.5 21018299.9	-4843730.16	1869124.67	1475970.34	3735425.76	20278903.9	1890111.14 	0.160475 	0.0	0.0 	5.86194367	184 3126062.36	2379540.3	2343508.05	2372918.71	2241427.69	4458957.34	1963317.51 	0.1	0.01	1.0
ACE-FTS 60 -12.5 25798101.3	-6482903.16	-4311046.62	32226403.7	-5401393.83	4827598.32	3237154.5 	0.363234 	-10990973.9	-0.366304913 	1.33101886	14 18714769	3777937.52	4337291.31	39700283.4	8875741.82	6507284.36	1951860.55 	2379009.42	0.0655377171	134532475
