 3547    2
  240.5902    1.33015E-25    8.19003E-18
  240.7118    1.32712E-25    8.24065E-18
  240.8333    1.32411E-25    8.29346E-18
  240.9547    1.32110E-25    8.34036E-18
  241.0761    1.31811E-25    8.39387E-18
  241.1974    1.31512E-25    8.44813E-18
  241.3187    1.31215E-25    8.51473E-18
  241.4399    1.30919E-25    8.57817E-18
  241.5611    1.30623E-25    8.62823E-18
  241.6822    1.30329E-25    8.65873E-18
  241.8032    1.30035E-25    8.67557E-18
  241.9242    1.29743E-25    8.69390E-18
  242.0452    1.29451E-25    8.72619E-18
  242.1660    1.29161E-25    8.76363E-18
  242.2869    1.28871E-25    8.80333E-18
  242.4076    1.28583E-25    8.83709E-18
  242.5283    1.28295E-25    8.86676E-18
  242.6490    1.28009E-25    8.90095E-18
  242.7696    1.27723E-25    8.94701E-18
  242.8902    1.27438E-25    9.00481E-18
  243.0106    1.27155E-25    9.06084E-18
  243.1311    1.26872E-25    9.11395E-18
  243.2515    1.26590E-25    9.16876E-18
  243.3718    1.26309E-25    9.22152E-18
  243.4921    1.26029E-25    9.27508E-18
  243.6123    1.25750E-25    9.32630E-18
  243.7325    1.25472E-25    9.37513E-18
  243.8526    1.25195E-25    9.40754E-18
  243.9726    1.24918E-25    9.42553E-18
  244.0926    1.24643E-25    9.43353E-18
  244.2126    1.24368E-25    9.43344E-18
  244.3325    1.24095E-25    9.44231E-18
  244.4523    1.23822E-25    9.45265E-18
  244.5721    1.23550E-25    9.45643E-18
  244.6919    1.23279E-25    9.46923E-18
  244.8116    1.23009E-25    9.50535E-18
  244.9312    1.22740E-25    9.57353E-18
  245.0508    1.22472E-25    9.66682E-18
  245.1703    1.22204E-25    9.76810E-18
  245.2898    1.21938E-25    9.84755E-18
  245.4092    1.21672E-25    9.90867E-18
  245.5286    1.21407E-25    9.95217E-18
  245.6479    1.21143E-25    9.98388E-18
  245.7672    1.20880E-25    9.99876E-18
  245.8864    1.20618E-25    1.00100E-17
  246.0056    1.20356E-25    1.00165E-17
  246.1247    1.20096E-25    1.00202E-17
  246.2438    1.19836E-25    1.00128E-17
  246.3628    1.19577E-25    1.00087E-17
  246.4818    1.19319E-25    1.00129E-17
  246.6007    1.19062E-25    1.00229E-17
  246.7196    1.18805E-25    1.00423E-17
